Using GPU 3
x: torch.Size([108, 68]), edge_index: torch.Size([2, 111]) edge_attr:  torch.Size([111, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 133]) edge_attr:  torch.Size([133, 1]) y:  tensor(49058.0273)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 110]) edge_attr:  torch.Size([110, 1]) y:  tensor(6642.0542)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 128]) edge_attr:  torch.Size([128, 1]) y:  tensor(638.2785)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 138]) edge_attr:  torch.Size([138, 1]) y:  tensor(10313.9033)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 120]) edge_attr:  torch.Size([120, 1]) y:  tensor(13854.3184)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 133]) edge_attr:  torch.Size([133, 1]) y:  tensor(6812.3433)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 125]) edge_attr:  torch.Size([125, 1]) y:  tensor(18977.6113)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 139]) edge_attr:  torch.Size([139, 1]) y:  tensor(49058.0273)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 136]) edge_attr:  torch.Size([136, 1]) y:  tensor(213.5873)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 108]) edge_attr:  torch.Size([108, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 122]) edge_attr:  torch.Size([122, 1]) y:  tensor(14932.5811)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 126]) edge_attr:  torch.Size([126, 1]) y:  tensor(109.2075)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 156]) edge_attr:  torch.Size([156, 1]) y:  tensor(49058.0273)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 141]) edge_attr:  torch.Size([141, 1]) y:  tensor(4912.3315)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 143]) edge_attr:  torch.Size([143, 1]) y:  tensor(174.3422)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 109]) edge_attr:  torch.Size([109, 1]) y:  tensor(6303.0405)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 129]) edge_attr:  torch.Size([129, 1]) y:  tensor(24522.3457)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 129]) edge_attr:  torch.Size([129, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 110]) edge_attr:  torch.Size([110, 1]) y:  tensor(16401.6895)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 144]) edge_attr:  torch.Size([144, 1]) y:  tensor(49058.0273)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 89]) edge_attr:  torch.Size([89, 1]) y:  tensor(114.1597)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 132]) edge_attr:  torch.Size([132, 1]) y:  tensor(2041.7311)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 118]) edge_attr:  torch.Size([118, 1]) y:  tensor(32.1180)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(169.1925)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 111]) edge_attr:  torch.Size([111, 1]) y:  tensor(1396.7401)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 112]) edge_attr:  torch.Size([112, 1]) y:  tensor(2200.8005)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 131]) edge_attr:  torch.Size([131, 1]) y:  tensor(41916.7461)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 98]) edge_attr:  torch.Size([98, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 116]) edge_attr:  torch.Size([116, 1]) y:  tensor(10461.2646)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 126]) edge_attr:  torch.Size([126, 1]) y:  tensor(1828.2183)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 129]) edge_attr:  torch.Size([129, 1]) y:  tensor(13758.3906)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 125]) edge_attr:  torch.Size([125, 1]) y:  tensor(217.1906)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 117]) edge_attr:  torch.Size([117, 1]) y:  tensor(100.1371)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 125]) edge_attr:  torch.Size([125, 1]) y:  tensor(49058.0273)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 123]) edge_attr:  torch.Size([123, 1]) y:  tensor(49058.0273)
